date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2022-01-03 00:00:00+05:30,10000.0000,10000.0000,0.0000,0.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,10000.0000,0.0000,,
2022-01-04 00:00:00+05:30,9951.6000,1185.8500,8765.7500,8814.1500,10000.0000,0.0000,-48.4000,0.0000,-48.4000,9951.6000,0.0000,0.0000,-48.4000,0.8800,0.8800,8765.7500,8765.7500,8765.7500,0.0000,1,0,-0.0048,-0.0048,0.0539,-0.0048,,,10097.5314,0.0098,,
2022-01-05 00:00:00+05:30,10111.9000,1185.8500,8926.0500,8814.1500,10000.0000,0.0000,111.9000,0.0000,111.9000,10111.9000,0.0000,0.0000,160.3000,0.8800,0.8800,8926.0500,8926.0500,8926.0500,0.0000,1,0,0.0161,0.0112,0.1540,0.0000,,,10154.4341,0.0056,,
2022-01-06 00:00:00+05:30,9920.8000,1185.8500,8734.9500,8814.1500,10000.0000,0.0000,-79.2000,0.0000,-79.2000,9920.8000,0.0000,0.0000,-191.1000,0.8800,0.8800,8734.9500,8734.9500,8734.9500,0.0000,1,0,-0.0189,-0.0079,0.2007,-0.0189,,,10062.7433,-0.0090,,
2022-01-07 00:00:00+05:30,9970.1500,1185.8500,8784.3000,8814.1500,10000.0000,0.0000,-29.8500,0.0000,-29.8500,9970.1500,0.0000,0.0000,49.3500,0.8800,0.8800,8784.3000,8784.3000,8784.3000,0.0000,1,0,0.0050,-0.0030,0.1830,-0.0140,,,10103.6838,0.0041,,
2022-01-10 00:00:00+05:30,10244.2000,1185.8500,9058.3500,8814.1500,10000.0000,0.0000,244.2000,0.0000,244.2000,10244.2000,0.0000,0.0000,274.0500,0.8800,0.8800,9058.3500,9058.3500,9058.3500,0.0000,1,0,0.0275,0.0244,0.2443,0.0000,,,10209.8626,0.0105,,
2022-01-11 00:00:00+05:30,10145.8500,1185.8500,8960.0000,8814.1500,10000.0000,0.0000,145.8500,0.0000,145.8500,10145.8500,0.0000,0.0000,-98.3500,0.8800,0.8800,8960.0000,8960.0000,8960.0000,0.0000,1,0,-0.0096,0.0146,0.2334,-0.0096,,,10240.2277,0.0030,,
2022-01-12 00:00:00+05:30,10357.6000,1185.8500,9171.7500,8814.1500,10000.0000,0.0000,357.6000,0.0000,357.6000,10357.6000,0.0000,0.0000,211.7500,0.8900,0.8900,9171.7500,9171.7500,9171.7500,0.0000,1,0,0.0209,0.0358,0.2478,0.0000,,,10318.8199,0.0077,,
2022-01-13 00:00:00+05:30,10420.6000,1185.8500,9234.7500,8814.1500,10000.0000,0.0000,420.6000,0.0000,420.6000,10420.6000,0.0000,0.0000,63.0000,0.8900,0.8900,9234.7500,9234.7500,9234.7500,0.0000,1,0,0.0061,0.0421,0.2358,0.0000,,,10352.2754,0.0032,,
2022-01-14 00:00:00+05:30,10761.8500,1185.8500,9576.0000,8814.1500,10000.0000,0.0000,761.8500,0.0000,761.8500,10761.8500,0.0000,0.0000,341.2500,0.8900,0.8900,9576.0000,9576.0000,9576.0000,0.0000,1,0,0.0327,0.0762,0.2775,0.0000,,,10340.3108,-0.0012,,
2022-01-17 00:00:00+05:30,10957.8500,1185.8500,9772.0000,8814.1500,10000.0000,0.0000,957.8500,0.0000,957.8500,10957.8500,0.0000,0.0000,196.0000,0.8900,0.8900,9772.0000,9772.0000,9772.0000,0.0000,1,0,0.0182,0.0958,0.2786,0.0000,,,10382.3854,0.0041,,
